time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	5.00004	16.6	12.1998	0.600326	-9.82091e-05	-0.799755	6.04224e-05	1	-7.74437e-05	0.799755	-1.83162e-06	0.600326	6.80082	18.6002	14.5991	0.599709	-0.000198223	-0.800218	0.000330209	1	-2.42561e-07	0.800218	-0.000264094	0.599709	8.59995	18.6012	16.9997	0.599311	-0.800516	-0.000439012	0.000330604	0.00079592	-1	0.800516	0.599311	0.000741658	10.3979	18.6022	19.4013	0.601659	-0.798752	-0.00161201	-0.00162133	0.000796888	-0.999998	0.798751	0.601661	-0.000815584	6.80122	14.6002	14.5991	0.599044	0.000632365	-0.800716	-0.00105335	0.999999	1.69963e-06	0.800715	0.000842417	0.599044	8.59835	14.597	17.0012	0.600452	-0.79966	-0.00127	-0.00105475	0.000796171	-0.999999	0.79966	0.600453	-0.000365382	10.3997	14.5939	19.4002	0.600362	-0.799729	0.000132735	0.00125832	0.000778653	-0.999999	0.799728	0.600361	0.00147379
0.016	5.00009	16.6001	12.1995	0.60073	-0.000253086	-0.799452	0.000123069	1	-0.000224097	0.799452	3.62338e-05	0.60073	6.80177	18.6004	14.5979	0.599835	-0.000604175	-0.800124	0.00100603	0.999999	-9.01651e-07	0.800123	-0.000804409	0.599835	8.60128	18.6034	16.9983	0.597264	-0.802045	-3.29851e-05	0.00100858	0.000792192	-0.999999	0.802044	0.597264	0.00128207	10.3931	18.6065	19.4044	0.605284	-0.796002	-0.00350112	-0.0047456	0.000789757	-0.999988	0.795996	0.605293	-0.00329948	6.80278	14.6004	14.5977	0.597729	0.00153818	-0.801697	-0.00256393	0.999997	7.04228e-06	0.801694	0.00205128	0.597731	8.59597	14.5927	17.0028	0.601291	-0.799027	-0.0021766	-0.00256748	0.000791947	-0.999996	0.799026	0.601294	-0.00157529	10.3998	14.585	19.3999	0.600282	-0.799788	0.000918374	0.00294447	0.00106171	-0.999995	0.799783	0.600282	0.00299227
0.02	5.00014	16.6001	12.199	0.60118	-0.000487949	-0.799114	0.000186054	1	-0.000470642	0.799114	0.000134262	0.60118	6.80271	18.6006	14.5966	0.600586	-0.00120573	-0.799559	0.00200135	0.999998	-4.68491e-06	0.799558	-0.00159738	0.600587	8.60447	18.6066	16.9952	0.593708	-0.804681	0.000569018	0.00200806	0.00077445	-0.999998	0.804678	0.593707	0.00207565	10.3856	18.6127	19.4093	0.610698	-0.791839	-0.00624006	-0.00923711	0.00075609	-0.999957	0.79181	0.61073	-0.00685256	6.80466	14.6006	14.596	0.596095	0.00261051	-0.80291	-0.00436981	0.99999	7.05252e-06	0.802902	0.00350436	0.596101	8.59294	14.5875	17.0047	0.602175	-0.798357	-0.00324989	-0.00437578	0.000770162	-0.99999	0.798352	0.602184	-0.00302967	10.3995	14.5744	19.3998	0.600458	-0.799654	0.00190275	0.00543533	0.00170195	-0.999984	0.799638	0.600459	0.00536833
0.024	5.00025	16.6001	12.1983	0.601875	-0.000724099	-0.79859	0.000223919	1	-0.00073796	0.79859	0.00026534	0.601875	6.80442	18.6007	14.5946	0.600732	-0.00201696	-0.799448	0.00331311	0.999995	-3.33395e-05	0.799443	-0.00262863	0.600736	8.60662	18.6107	16.9929	0.590341	-0.807152	0.00138034	0.0033227	0.000720064	-0.999994	0.807147	0.590343	0.00310701	10.3776	18.6206	19.4144	0.616687	-0.787148	-0.00977699	-0.01499	0.000675547	-0.999887	0.787066	0.616764	-0.0113827	6.80732	14.6007	14.5935	0.59382	0.00364042	-0.80459	-0.00616983	0.999981	-2.90982e-05	0.804574	0.00498146	0.593831	8.58878	14.5822	17.0073	0.603303	-0.7975	-0.00428114	-0.00617848	0.000694119	-0.999981	0.797488	0.603318	-0.00450857	10.3987	14.5637	19.3997	0.600971	-0.799267	0.00253267	0.00796743	0.0028221	-0.999964	0.799231	0.60097	0.0080641
0.028	5.00037	16.6	12.1975	0.602546	-0.000973294	-0.798084	0.000245132	0.999999	-0.00103447	0.798084	0.000427678	0.602546	6.80606	18.6008	14.5926	0.601142	-0.00303392	-0.799136	0.00491294	0.999988	-0.00010074	0.799127	-0.00386555	0.60115	8.60948	18.6155	16.99	0.586217	-0.81015	0.00239754	0.004925	0.000604336	-0.999988	0.810139	0.586222	0.00434426	10.3681	18.6303	19.4204	0.623833	-0.781431	-0.0140655	-0.0218923	0.000518195	-0.99976	0.781251	0.623991	-0.0167841	6.80995	14.6008	14.5909	0.591528	0.00458395	-0.806272	-0.00791397	0.999969	-0.000120961	0.806246	0.00645236	0.591546	8.58453	14.577	17.0096	0.604544	-0.796555	-0.005226	-0.00792389	0.000546729	-0.999968	0.796533	0.604566	-0.0059813	10.3982	14.5533	19.3992	0.601132	-0.799145	0.0028871	0.0105952	0.00435744	-0.999934	0.79908	0.601123	0.0110865
0.032	5.00051	16.6	12.1965	0.603223	-0.00129439	-0.797572	0.000267554	0.999999	-0.00142055	0.797573	0.000643516	0.603223	6.80759	18.6008	14.5905	0.602097	-0.0042568	-0.798411	0.00676868	0.999977	-0.00022708	0.798394	-0.00526747	0.602112	8.61388	18.6211	16.9857	0.58096	-0.813924	0.00362101	0.00678128	0.000391591	-0.999977	0.813904	0.580971	0.00574694	10.3568	18.6414	19.4274	0.632041	-0.774701	-0.019047	-0.0298432	0.000227618	-0.999555	0.77436	0.632328	-0.0229757	6.81276	14.6008	14.588	0.589026	0.00544527	-0.808096	-0.00965541	0.999953	-0.00029981	0.808057	0.0079791	0.589051	8.57984	14.5718	17.0121	0.605676	-0.795688	-0.00608877	-0.00966364	0.000295912	-0.999953	0.795653	0.605707	-0.00751002	10.3969	14.5428	19.3991	0.601838	-0.798611	0.00336994	0.0137485	0.0061417	-0.999887	0.7985	0.601816	0.014676
0.036	5.00071	16.5999	12.1954	0.604102	-0.00157368	-0.796905	0.000283256	0.999998	-0.00176001	0.796907	0.000837498	0.604101	6.80987	18.6008	14.5878	0.601996	-0.00571237	-0.798479	0.00887366	0.999961	-0.000463682	0.79845	-0.0068063	0.602023	8.61586	18.6274	16.9832	0.576796	-0.816872	0.00507652	0.00887972	5.56602e-05	-0.999961	0.81684	0.576819	0.0072857	10.3462	18.654	19.4337	0.640042	-0.767943	-0.0246829	-0.0387729	-0.000197835	-0.999248	0.767361	0.640518	-0.029902	6.81617	14.6008	14.5845	0.58616	0.00607829	-0.810172	-0.0112282	0.999937	-0.000621648	0.810117	0.00946119	0.586192	8.57465	14.5671	17.0148	0.60693	-0.794727	-0.00672345	-0.011229	-0.000116006	-0.999937	0.794676	0.606968	-0.00899439	10.3954	14.5334	19.3989	0.60268	-0.797975	0.003477	0.016699	0.00825557	-0.999826	0.797808	0.602634	0.0183008
0.04	5.00093	16.5998	12.1943	0.604799	-0.00190614	-0.796376	0.000306948	0.999998	-0.0021604	0.796378	0.00106217	0.604799	6.81151	18.6008	14.5855	0.602806	-0.00736868	-0.797853	0.0111996	0.999937	-0.000773361	0.797809	-0.00846945	0.602851	8.61993	18.6344	16.9789	0.57122	-0.82077	0.00673333	0.011192	-0.000414045	-0.999937	0.820721	0.571259	0.00894952	10.3336	18.6679	19.4411	0.649192	-0.759994	-0.0309717	-0.048591	-0.000802303	-0.998818	0.759071	0.64993	-0.0374497	6.81914	14.6008	14.5813	0.583634	0.00658118	-0.81199	-0.0127376	0.999918	-0.00105106	0.811917	0.0109562	0.58367	8.57004	14.5625	17.017	0.60799	-0.793912	-0.00722778	-0.012724	-0.000640961	-0.999919	0.793843	0.608032	-0.0104914	10.394	14.5244	19.3985	0.603378	-0.797447	0.0036113	0.0199309	0.010553	-0.999746	0.797206	0.603296	0.0222613
0.044	5.00119	16.5997	12.1929	0.605576	-0.00227562	-0.795784	0.000354469	0.999997	-0.00258984	0.795788	0.00128626	0.605574	6.81337	18.6008	14.5829	0.603457	-0.00925258	-0.797342	0.0137262	0.999905	-0.00121471	0.797278	-0.0102114	0.603526	8.62374	18.642	16.9747	0.565611	-0.824627	0.00861763	0.0136917	-0.0010582	-0.999906	0.824559	0.565676	0.010692	10.3206	18.683	19.4484	0.65849	-0.751639	-0.0378237	-0.0592383	-0.00166374	-0.998242	0.750255	0.659573	-0.0456214	6.82247	14.6008	14.5777	0.580935	0.00694948	-0.81392	-0.0142085	0.999898	-0.00160393	0.813826	0.0124964	0.580974	8.56527	14.5582	17.0192	0.608827	-0.793267	-0.00759763	-0.014172	-0.00130022	-0.999899	0.793176	0.608873	-0.0120338	10.3918	14.5157	19.3987	0.604759	-0.796398	0.00402824	0.0235472	0.0128247	-0.99964	0.79606	0.604637	0.0265088
0.048	5.00151	16.5996	12.1915	0.606438	-0.0026067	-0.795126	0.000421906	0.999996	-0.00295655	0.79513	0.0014575	0.606437	6.81561	18.6009	14.5798	0.603282	-0.0113634	-0.797447	0.0164486	0.999863	-0.0018042	0.797359	-0.0120284	0.603386	8.62546	18.6502	16.9719	0.560988	-0.827754	0.0107284	0.0163739	-0.00186213	-0.999864	0.827662	0.561088	0.0125089	10.3084	18.6993	19.4549	0.66748	-0.743252	-0.0452421	-0.0706726	-0.0027497	-0.997496	0.741267	0.669006	-0.0543629	6.82604	14.6009	14.574	0.578274	0.00709018	-0.815812	-0.0155267	0.999877	-0.00231593	0.815695	0.0140061	0.578313	8.56086	14.5543	17.0211	0.60959	-0.792679	-0.00773983	-0.0154557	-0.00212291	-0.999878	0.792566	0.609636	-0.0135455	10.3896	14.5079	19.3988	0.606061	-0.795407	0.00415694	0.0269366	0.0153007	-0.99952	0.794962	0.605882	0.0306987
0.052	5.00184	16.5995	12.19	0.60706	-0.00302287	-0.79465	0.000512589	0.999994	-0.00341242	0.794656	0.00166422	0.607058	6.81698	18.601	14.5773	0.604396	-0.0136399	-0.796567	0.0193476	0.99981	-0.00244011	0.796449	-0.0139369	0.604545	8.63017	18.659	16.9666	0.554526	-0.832065	0.0130056	0.0192108	-0.00282462	-0.999811	0.831944	0.554671	0.0144183	10.2937	18.7167	19.4625	0.677505	-0.733589	-0.0532352	-0.082801	-0.00415239	-0.996557	0.730843	0.67958	-0.0635552	6.82907	14.601	14.5706	0.576137	0.00722241	-0.817321	-0.0168413	0.999854	-0.00303621	0.817179	0.015514	0.576175	8.55748	14.5505	17.0222	0.609937	-0.792411	-0.00787326	-0.0167324	-0.00294495	-0.999856	0.792273	0.609981	-0.0150552	10.3873	14.5003	19.399	0.607462	-0.794335	0.00465196	0.0308043	0.0177046	-0.999369	0.793752	0.607221	0.0352238
