Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.004	0.004188778	10.4	10.4	20.5	19.5	300	300
0.008	0.008377482	10.4	10.4	20.5	19.5	300	300
0.012	0.01256604	10.4	10.4	20.5	19.5	300	300
0.016	0.016754377	10.4	10.4	20.5	19.5	300	300
0.02	0.02094242	10.4	10.4	20.5	19.5	300	300
0.024	0.025130095	10.4	10.4	20.5	19.5	300	300
0.028	0.02931733	10.4	10.4	20.5	19.5	300	300
0.032	0.03350405	10.4	10.4	20.5	19.5	300	300
0.036	0.037690183	10.4	10.4	20.5	19.5	300	300
0.04	0.041875654	10.4	10.4	20.5	19.5	300	300
0.044	0.04606039	10.4	10.4	20.5	19.5	300	300
0.048	0.050244318	10.4	10.4	20.5	19.5	300	300
0.052	0.054427365	10.4	10.4	20.5	19.5	300	300
0.056	0.058609456	10.4	10.4	20.5	19.5	300	300
0.06	0.06279052	10.4	10.4	20.5	19.5	300	300
0.064	0.066970481	10.4	10.4	20.5	19.5	300	300
0.068	0.071149267	10.4	10.4	20.5	19.5	300	300
0.072	0.075326806	10.4	10.4	20.5	19.5	300	300
0.076	0.079503022	10.4	10.4	20.5	19.5	300	300
0.08	0.083677843	10.4	10.4	20.5	19.5	300	300
0.084	0.087851197	10.4	10.4	20.5	19.5	300	300
0.088	0.092023008	10.4	10.4	20.5	19.5	300	300
0.092	0.096193205	10.4	10.4	20.5	19.5	300	300
0.096	0.100361715	10.41142857	10.4	20.50180857	19.5	0	300
0.1	0.104528463	10.42285714	10.4	20.52264232	19.5	0	300
0.104	0.108693378	10.43428571	10.4	20.54346689	19.5	0	300
0.108	0.112856385	10.44571429	10.4	20.56428192	19.5	0	300
0.112	0.117017412	10.45714286	10.4	20.58508706	19.5	0	300
0.116	0.121176386	10.46857143	10.4	20.60588193	19.5	0	300
0.12	0.125333234	10.48	10.4	20.62666617	19.5	0	300
0.124	0.129487882	10.49142857	10.4	20.64743941	19.5	0	300
0.128	0.133640259	10.50285714	10.4	20.66820129	19.5	0	300
0.132	0.137790291	10.51428571	10.4	20.68895145	19.5	0	300
0.136	0.141937905	10.52571429	10.4	20.70968952	19.5	0	300
0.14	0.146083029	10.53714286	10.4	20.73041514	19.5	0	300
0.144	0.150225589	10.54857143	10.4	20.75112795	19.5	0	300
0.148	0.154365514	10.56	10.4	20.77182757	19.5	0	300
0.152	0.15850273	10.57142857	10.4	20.79251365	19.5	0	300
0.156	0.162637165	10.58285714	10.4	20.81318583	19.5	0	300
0.16	0.166768747	10.59428571	10.4	20.83384373	19.5	0	300
0.164	0.170897402	10.60571429	10.4	20.85448701	19.5	0	300
0.168	0.175023059	10.61714286	10.4	20.87511529	19.5	0	300
0.172	0.179145645	10.62857143	10.4	20.89572822	19.5	0	300
0.176	0.183265088	10.64	10.4	20.91632544	19.5	0	300
0.18	0.187381315	10.65142857	10.4	20.93690657	19.5	0	300
0.184	0.191494254	10.66285714	10.4	20.95747127	19.5	0	300
0.188	0.195603833	10.67428571	10.4	20.97801917	19.5	0	300
0.192	0.199709981	10.68571429	10.4	20.9985499	19.5	0	300
0.196	0.203812624	10.69714286	10.4	21.01906312	19.5	0	300
0.2	0.207911691	10.70857143	10.4	21.03955845	19.5	0	300
0.204	0.21200711	10.72	10.4	21.06003555	19.5	0	300
0.208	0.216098809	10.73142857	10.4	21.08049405	19.5	0	300
0.212	0.220186717	10.74285714	10.4	21.10093358	19.5	0	300
0.216	0.224270761	10.75428571	10.4	21.1213538	19.5	0	300
0.22	0.22835087	10.76571429	10.4	21.14175435	19.5	0	300
0.224	0.232426973	10.77714286	10.4	21.16213486	19.5	0	300
0.228	0.236498997	10.78857143	10.4	21.18249499	19.5	0	300
0.232	0.240566872	10.8	10.4	21.20283436	19.5	0	300
0.236	0.244630526	10.81142857	10.4	21.22315263	19.5	0	300
0.24	0.248689887	10.82285714	10.4	21.24344944	19.5	0	300
0.244	0.252744885	10.83428571	10.4	21.26372443	19.5	0	300
0.248	0.256795449	10.84571429	10.4	21.28397724	19.5	0	300
0.252	0.260841506	10.85714286	10.4	21.30420753	19.5	0	300
0.256	0.264882987	10.86857143	10.4	21.32441494	19.5	0	300
0.26	0.268919821	10.88	10.4	21.3445991	19.5	0	300
0.264	0.272951936	10.89142857	10.4	21.36475968	19.5	0	300
0.268	0.276979261	10.90285714	10.4	21.38489631	19.5	0	300
0.272	0.281001727	10.91428571	10.4	21.40500864	19.5	0	300
0.276	0.285019262	10.92571429	10.4	21.42509631	19.5	0	300
0.28	0.289031797	10.93714286	10.4	21.44515898	19.5	0	300
0.284	0.29303926	10.94857143	10.4	21.4651963	19.5	0	300
0.288	0.297041582	10.96	10.4	21.48520791	19.5	0	300
0.292	0.301038691	10.97142857	10.4	21.50519346	19.5	0	300
0.296	0.305030519	10.98285714	10.4	21.52515259	19.5	0	300
0.3	0.309016994	10.99428571	10.4	21.54508497	19.5	0	300
0.304	0.312998048	11.00571429	10.4	21.56499024	19.5	0	300
0.308	0.31697361	11.01714286	10.4	21.58486805	19.5	0	300
0.312	0.32094361	11.02857143	10.4	21.60471805	19.5	0	300
0.316	0.324907979	11.04	10.4	21.62453989	19.5	0	300
0.32	0.328866647	11.05142857	10.4	21.64433323	19.5	0	300
0.324	0.332819545	11.06285714	10.4	21.66409772	19.5	0	300
0.328	0.336766603	11.07428571	10.4	21.68383301	19.5	0	300
0.332	0.340707752	11.08571429	10.4	21.70353876	19.5	0	300
0.336	0.344642923	11.09714286	10.4	21.72321462	19.5	0	300
0.34	0.348572047	11.10857143	10.4	21.74286024	19.5	0	300
0.344	0.352495055	11.12	10.4	21.76247528	19.5	0	300
0.348	0.356411879	11.13142857	10.4	21.78205939	19.5	0	300
0.352	0.360322448	11.14285714	10.4	21.80161224	19.5	0	300
0.356	0.364226696	11.15428571	10.4	21.82113348	19.5	0	300
0.36	0.368124553	11.16571429	10.4	21.84062276	19.5	0	300
0.364	0.37201595	11.17714286	10.4	21.86007975	19.5	0	300
0.368	0.375900821	11.18857143	10.4	21.8795041	19.5	0	300
0.372	0.379779096	11.2	10.4	21.89889548	19.5	0	300
0.376	0.383650707	11.21142857	10.4	21.91825353	19.5	0	300
0.38	0.387515586	11.22285714	10.4	21.93757793	19.5	0	300
0.384	0.391373667	11.23428571	10.4	21.95686833	19.5	0	300
0.388	0.39522488	11.24571429	10.4	21.9761244	19.5	0	300
0.392	0.399069159	11.25714286	10.4	21.99534579	19.5	0	300
0.396	0.402906436	11.26857143	10.4	22.01453218	19.5	0	300
0.4	0.406736643	11.28	10.4	22.03368322	19.5	0	300
0.404	0.410559714	11.29142857	10.4	22.05279857	19.5	0	300
0.408	0.414375581	11.30285714	10.4	22.0718779	19.5	0	300
0.412	0.418184178	11.31428571	10.4	22.09092089	19.5	0	300
0.416	0.421985437	11.32571429	10.4	22.10992718	19.5	0	300
0.42	0.425779292	11.33714286	10.4	22.12889646	19.5	0	300
0.424	0.429565676	11.34857143	10.4	22.14782838	19.5	0	300
0.428	0.433344523	11.36	10.4	22.16672261	19.5	0	300
0.432	0.437115767	11.37142857	10.4	22.18557883	19.5	0	300
0.436	0.440879341	11.38285714	10.4	22.2043967	19.5	0	300
0.44	0.444635179	11.39428571	10.4	22.2231759	19.5	0	300
0.444	0.448383216	11.40571429	10.4	22.24191608	19.5	0	300
0.448	0.452123386	11.41714286	10.4	22.26061693	19.5	0	300
0.452	0.455855622	11.42857143	10.4	22.27927811	19.5	0	300
0.456	0.459579861	11.44	10.4	22.2978993	19.5	0	300
0.46	0.463296035	11.45142857	10.4	22.31648018	19.5	0	300
0.464	0.467004081	11.46285714	10.4	22.3350204	19.5	0	300
0.468	0.470703932	11.47428571	10.4	22.35351966	19.5	0	300
0.472	0.474395525	11.48571429	10.4	22.37197762	19.5	0	300
0.476	0.478078794	11.49714286	10.4	22.39039397	19.5	0	300
0.48	0.481753674	11.50857143	10.4	22.40876837	19.5	0	300
0.484	0.485420102	11.52	10.4	22.42710051	19.5	0	300
0.488	0.489078012	11.53142857	10.4	22.44539006	19.5	0	300
0.492	0.492727342	11.54285714	10.4	22.46363671	19.5	0	300
0.496	0.496368025	11.55428571	10.4	22.48184013	19.5	0	300
0.5	0.5	11.56571429	10.4	22.5	19.5	0	300
0.504	0.503623202	11.57714286	10.4	22.51811601	19.5	0	300
0.508	0.507237567	11.58857143	10.4	22.53618783	19.5	0	300
0.512	0.510843032	11.6	10.4	22.55421516	19.5	0	300
0.516	0.514439534	11.61142857	10.4	22.57219767	19.5	0	300
0.52	0.518027009	11.62285714	10.4	22.59013505	19.5	0	300
0.524	0.521605396	11.63428571	10.4	22.60802698	19.5	0	300
0.528	0.52517463	11.64571429	10.4	22.62587315	19.5	0	300
0.532	0.52873465	11.65714286	10.4	22.64367325	19.5	0	300
0.536	0.532285392	11.66857143	10.4	22.66142696	19.5	0	300
0.54	0.535826795	11.68	10.4	22.67913397	19.5	0	300
0.544	0.539358796	11.69142857	10.4	22.69679398	19.5	0	300
0.548	0.542881334	11.70285714	10.4	22.71440667	19.5	0	300
0.552	0.546394347	11.71428571	10.4	22.73197173	19.5	0	300
0.556	0.549897772	11.72571429	10.4	22.74948886	19.5	0	300
0.56	0.553391549	11.73714286	10.4	22.76695775	19.5	0	300
