time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	4.99994	16.6	12.1999	0.599643	9.82653e-05	-0.800268	-0.000233139	1	-5.19017e-05	0.800267	0.000217696	0.599643	6.79907	18.5993	14.6011	0.601134	6.02008e-05	-0.799148	-0.000100325	1	-1.35096e-07	0.799148	8.02559e-05	0.601134	8.60247	18.599	16.9986	0.599345	-0.80049	-0.000696584	-9.85443e-05	0.000796414	-1	0.800491	0.599345	0.000398443	10.4005	18.5987	19.4	0.599558	-0.800331	6.00794e-05	0.00116328	0.000796388	-0.999999	0.80033	0.599558	0.00140849	6.79867	14.5993	14.6003	0.601058	-0.000108059	-0.799205	0.000180274	1	3.70948e-07	0.799205	-0.000144299	0.601058	8.60185	14.5998	16.9979	0.598975	-0.800768	-0.000528369	0.000182349	0.000796225	-1	0.800768	0.598974	0.000622938	10.3988	14.6004	19.4002	0.600241	-0.799819	-0.00067761	-7.37226e-05	0.000791878	-1	0.799819	0.600241	0.000416353
0.016	4.99985	16.6	12.1997	0.599092	0.000283869	-0.80068	-0.000692937	1	-0.000163941	0.80068	0.000653036	0.599092	6.79769	18.5979	14.603	0.603009	0.000193339	-0.797734	-0.000322886	1	-1.70951e-06	0.797734	0.000258608	0.603009	8.60672	18.5969	16.9962	0.59834	-0.801242	-0.000828596	-0.00031824	0.000796489	-1	0.801242	0.59834	0.000221585	10.4017	18.596	19.3999	0.598556	-0.80108	0.0015236	0.0036103	0.000795655	-0.999993	0.801073	0.598557	0.00336839	6.79656	14.5979	14.6004	0.602672	-0.000346075	-0.797989	0.000576286	1	1.54922e-06	0.797989	-0.000460803	0.602672	8.60457	14.5996	16.9944	0.597576	-0.801812	-0.000289386	0.000581357	0.000794188	-1	0.801812	0.597575	0.000940727	10.3973	14.6014	19.3998	0.600367	-0.799724	-0.000956506	-0.000573745	0.000765324	-1	0.799725	0.600367	6.37115e-07
0.02	4.99974	16.5999	12.1993	0.598387	0.000522329	-0.801207	-0.00134695	0.999999	-0.000354053	0.801206	0.00129105	0.598387	6.79594	18.5959	14.6055	0.605574	0.00039095	-0.795789	-0.000665113	1	-1.48597e-05	0.795789	0.000538289	0.605574	8.61266	18.5939	16.9929	0.597015	-0.80223	-0.00102466	-0.000656704	0.000788547	-0.999999	0.80223	0.597015	-5.60537e-05	10.4037	18.5919	19.3996	0.596976	-0.802251	0.00366659	0.00721227	0.000796584	-0.999974	0.802227	0.596987	0.00626159	6.79385	14.5959	14.6004	0.60464	-0.000653054	-0.796499	0.00100568	0.999999	-5.64698e-05	0.796498	-0.000766881	0.60464	8.60777	14.5989	16.9899	0.596015	-0.802973	1.87805e-05	0.0010136	0.000728968	-0.999999	0.802973	0.596015	0.00124837	10.3958	14.602	19.3988	0.600267	-0.799799	-0.000931191	-0.000719335	0.000624403	-1	0.799799	0.600267	-0.000200515
0.024	4.99964	16.5999	12.1989	0.597754	0.000859072	-0.801679	-0.00219169	0.999997	-0.000562595	0.801677	0.00209332	0.597754	6.79462	18.5933	14.6081	0.608105	0.00062763	-0.793856	-0.0010985	0.999999	-5.08592e-05	0.793856	0.00090298	0.608105	8.61894	18.59	16.9897	0.595911	-0.803049	-0.0012598	-0.00108699	0.000762155	-0.999999	0.803049	0.595912	-0.00041873	10.4067	18.5868	19.3988	0.594706	-0.803918	0.00637173	0.011793	0.00079868	-0.99993	0.803856	0.59474	0.00995556	6.79119	14.5933	14.5997	0.60667	-0.00112971	-0.794953	0.00152038	0.999999	-0.00026082	0.794952	-0.0010504	0.606671	8.6112	14.5979	16.9846	0.594343	-0.804212	0.000496669	0.00152846	0.000512004	-0.999999	0.80421	0.594343	0.00153351	10.3942	14.6025	19.3972	0.600004	-0.799997	-0.000847161	-0.000758023	0.000490432	-1	0.799997	0.600004	-0.000312155
0.028	4.99955	16.5999	12.1984	0.596971	0.00120515	-0.802262	-0.00318571	0.999995	-0.000868335	0.802256	0.00307414	0.596972	6.79287	18.5903	14.6113	0.61139	0.000930123	-0.791329	-0.00169625	0.999999	-0.000135151	0.791328	0.00142492	0.611391	8.62704	18.5852	16.9853	0.59437	-0.804191	-0.00156028	-0.00168176	0.00069721	-0.999998	0.80419	0.594371	-0.000938055	10.4102	18.5802	19.3978	0.591943	-0.805921	0.00976366	0.0175936	0.000809358	-0.999845	0.805788	0.592023	0.0146582	6.78805	14.5903	14.599	0.608952	-0.00178611	-0.793205	0.00197816	0.999998	-0.000733098	0.793205	-0.00112267	0.608954	8.61491	14.5963	16.9786	0.592575	-0.805515	0.00115446	0.00197904	2.26891e-05	-0.999998	0.805513	0.592576	0.00160759	10.3926	14.6022	19.3951	0.599519	-0.80036	-0.000356733	-4.51363e-05	0.000411906	-1	0.800361	0.599519	0.00021082
0.032	4.9995	16.5998	12.1977	0.596394	0.00165124	-0.80269	-0.00433292	0.99999	-0.00116222	0.80268	0.00417113	0.596395	6.79199	18.5868	14.6141	0.614249	0.00125619	-0.789112	-0.00237624	0.999997	-0.000257782	0.789109	0.00203346	0.61425	8.63473	18.5797	16.9814	0.593311	-0.804971	-0.00188458	-0.00236127	0.000600767	-0.999997	0.80497	0.593314	-0.00154432	10.4147	18.5726	19.3963	0.588469	-0.808406	0.0135666	0.0241703	0.000817463	-0.999708	0.808159	0.588624	0.0200205	6.78538	14.5869	14.5974	0.611099	-0.00272938	-0.791549	0.00244088	0.999996	-0.00156371	0.79155	-0.000976499	0.611103	8.61868	14.5942	16.9721	0.590738	-0.806861	0.00209905	0.00242054	-0.000829311	-0.999997	0.80686	0.590741	0.00146314	10.3909	14.6014	19.3927	0.598917	-0.800811	0.000266783	0.00119662	0.000561799	-0.999999	0.80081	0.598917	0.00129474
0.036	4.99947	16.5998	12.197	0.595648	0.00208471	-0.803243	-0.00560751	0.999983	-0.00156296	0.803226	0.00543517	0.59565	6.79058	18.5829	14.6176	0.617951	0.00161943	-0.786215	-0.00322244	0.999995	-0.000473017	0.78621	0.00282583	0.617953	8.64444	18.5733	16.9762	0.59168	-0.80617	-0.00224551	-0.00321002	0.00042943	-0.999995	0.806167	0.591684	-0.00233374	10.4195	18.5636	19.3947	0.584585	-0.811133	0.0179935	0.0319137	0.000828421	-0.99949	0.810705	0.584861	0.0263705	6.78224	14.583	14.5958	0.613484	-0.00399733	-0.789697	0.00284556	0.999992	-0.0028512	0.789702	-0.000497968	0.61349	8.6227	14.5915	16.9649	0.588819	-0.808258	0.00336847	0.00278079	-0.00214172	-0.999994	0.80826	0.588825	0.000986507	10.3892	14.5999	19.3897	0.598099	-0.801421	0.00113475	0.00326354	0.00101966	-0.999994	0.801415	0.598099	0.00322533
0.04	4.9995	16.5997	12.1962	0.595161	0.00261845	-0.803602	-0.00701611	0.999974	-0.00193794	0.803576	0.00679155	0.595163	6.79022	18.5786	14.6206	0.621076	0.00198395	-0.783748	-0.0041364	0.999991	-0.000746528	0.78374	0.00370555	0.621079	8.65345	18.5662	16.9718	0.590616	-0.806949	-0.00260807	-0.00413146	0.000208111	-0.999991	0.806942	0.590622	-0.00321097	10.4253	18.5538	19.3926	0.580001	-0.814298	0.0227342	0.0403225	0.000824548	-0.999186	0.813617	0.580446	0.0333128	6.77974	14.5787	14.5934	0.615664	-0.00564207	-0.787989	0.00325027	0.999984	-0.0046205	0.788002	0.000283494	0.615672	8.62674	14.5885	16.9574	0.586831	-0.809694	0.00501457	0.00311017	-0.00393897	-0.999987	0.809704	0.586839	0.000206782	10.3872	14.5978	19.3865	0.597209	-0.802083	0.00202955	0.0059249	0.00188122	-0.999981	0.802064	0.59721	0.00587574
0.044	4.99956	16.5997	12.1954	0.594517	0.00313907	-0.804077	-0.00854716	0.999961	-0.0024158	0.804038	0.00830881	0.594521	6.78939	18.574	14.6241	0.625012	0.00234046	-0.780612	-0.00517619	0.999986	-0.00114621	0.780598	0.00475699	0.625015	8.66443	18.5584	16.9659	0.588958	-0.808159	-0.00296209	-0.00518673	-0.000114726	-0.999987	0.808147	0.588965	-0.00425927	10.4313	18.5429	19.3904	0.575045	-0.817644	0.0279611	0.0497067	0.000803572	-0.998764	0.816611	0.575723	0.0411044	6.77684	14.5741	14.5909	0.618051	-0.00765669	-0.786101	0.00367089	0.99997	-0.00685366	0.786129	0.00135022	0.618061	8.63099	14.5851	16.9493	0.584783	-0.811159	0.0070307	0.00341549	-0.00620495	-0.999975	0.811183	0.584792	-0.000858042	10.3853	14.5954	19.3828	0.596095	-0.802909	0.00289337	0.00907403	0.00313329	-0.999954	0.802863	0.596094	0.00915336
0.048	4.9997	16.5996	12.1945	0.594118	0.00374046	-0.804369	-0.0101843	0.999944	-0.00287236	0.804313	0.00989847	0.594123	6.78954	18.5689	14.6273	0.62842	0.00269966	-0.777869	-0.00630786	0.999979	-0.00162544	0.777848	0.00592815	0.628424	8.6748	18.55	16.9608	0.5878	-0.809	-0.0033191	-0.00634202	-0.000505319	-0.99998	0.808982	0.587809	-0.00542772	10.4382	18.531	19.3877	0.569417	-0.821365	0.0335104	0.0598141	0.000741277	-0.998209	0.81987	0.570402	0.0495514	6.77458	14.5692	14.5877	0.62025	-0.00998022	-0.78434	0.00412008	0.999947	-0.00946554	0.784393	0.00263946	0.620258	8.63533	14.5815	16.9408	0.582633	-0.812682	0.00935562	0.00370733	-0.00885363	-0.999954	0.812727	0.582641	-0.00214553	10.3832	14.5926	19.379	0.594958	-0.803748	0.00369399	0.0125653	0.00470566	-0.99991	0.803659	0.594951	0.012899
0.052	4.99989	16.5995	12.1936	0.593619	0.00433048	-0.804735	-0.0119244	0.999923	-0.00341526	0.804658	0.0116233	0.593625	6.78941	18.5636	14.6308	0.632455	0.00306781	-0.774591	-0.00754069	0.999969	-0.00219656	0.77456	0.00723017	0.632459	8.68677	18.5409	16.9545	0.586167	-0.810182	-0.00368464	-0.00760956	-0.000957746	-0.999971	0.810154	0.586178	-0.00672653	10.4453	18.5181	19.385	0.563399	-0.825245	0.0394033	0.0706922	0.000634075	-0.997498	0.823155	0.564775	0.0586957	6.77209	14.5639	14.5843	0.622582	-0.012511	-0.782454	0.00466524	0.999914	-0.0122761	0.78254	0.00399253	0.622587	8.63983	14.5779	16.9319	0.580465	-0.814199	0.011888	0.00405353	-0.0117098	-0.999923	0.814275	0.580468	-0.00349675	10.3812	14.59	19.3748	0.593585	-0.80476	0.00430527	0.0160044	0.00645577	-0.999851	0.804612	0.593566	0.0167117
