time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	4.99999	16.6	12.1999	0.599897	0.000229775	-0.800077	-0.000247973	1	0.000101261	0.800077	0.000137651	0.599897	6.80014	18.5992	14.6004	0.599788	-0.000145755	-0.800159	0.000242988	1	-1.71621e-08	0.800159	-0.000194418	0.599788	8.59951	18.6	17.0008	0.600558	-0.799581	-0.000491433	0.000242221	0.000796543	-1	0.799581	0.600558	0.000672046	10.4012	18.6007	19.3996	0.59933	-0.800502	-0.000649756	-2.07229e-05	0.00079617	-1	0.800502	0.59933	0.00046058	6.79922	14.5992	14.5998	0.600134	2.85618e-05	-0.7999	-4.75899e-05	1	1.84803e-09	0.7999	3.8066e-05	0.600134	8.59962	14.5991	16.9995	0.600916	-0.799312	-0.000665543	-4.83686e-05	0.000796282	-1	0.799312	0.600916	0.000439837	10.4024	14.5989	19.3974	0.598093	-0.801426	-0.00111721	-0.000815173	0.000785674	-0.999999	0.801426	0.598094	-0.000183394
0.016	4.99997	16.5999	12.1996	0.599626	0.000496614	-0.800281	-0.000585718	1	0.000181689	0.800281	0.000359793	0.599626	6.79984	18.5982	14.6011	0.599985	-0.000266637	-0.800011	0.000445587	1	8.85526e-07	0.800011	-0.000357006	0.599985	8.5998	18.5995	17.0012	0.601043	-0.799217	-0.000370433	0.000444532	0.000797801	-1	0.799217	0.601043	0.00083479	10.4029	18.6008	19.3988	0.598227	-0.801327	-0.000352158	0.000477734	0.000796118	-1	0.801327	0.598226	0.000859081	6.79785	14.5982	14.5997	0.600299	7.19355e-05	-0.799775	-0.000118978	1	6.41792e-07	0.799775	9.47701e-05	0.600299	8.59875	14.5978	16.999	0.602295	-0.798274	-0.000708818	-0.000120967	0.000796669	-1	0.798274	0.602294	0.000383264	10.4056	14.5975	19.3938	0.594991	-0.80373	-0.00187581	-0.00238721	0.000566656	-0.999997	0.803728	0.594994	-0.00158152
0.02	4.99996	16.5999	12.1992	0.599265	0.00083094	-0.80055	-0.00113831	0.999999	0.00018586	0.80055	0.000799896	0.599265	6.79941	18.5964	14.6024	0.600599	-0.000494162	-0.79955	0.00084452	1	1.63295e-05	0.79955	-0.000685043	0.600599	8.60121	18.599	17.0011	0.601388	-0.798957	-0.000142542	0.000843717	0.000813489	-0.999999	0.798957	0.601387	0.00116332	10.4054	18.6015	19.3979	0.596707	-0.802459	-2.17869e-05	0.00102642	0.000790395	-0.999999	0.802459	0.596706	0.0012953	6.79609	14.5965	14.5992	0.60023	3.90147e-05	-0.799828	-4.35481e-05	1	1.60983e-05	0.799828	2.51683e-05	0.60023	8.59678	14.5963	16.9987	0.604064	-0.796936	-0.000675939	-4.7449e-05	0.000812207	-1	0.796936	0.604063	0.000452811	10.409	14.5962	19.3895	0.591094	-0.806598	-0.00281798	-0.00476365	2.70363e-06	-0.999989	0.806589	0.591101	-0.00384075
0.024	4.99999	16.5998	12.1986	0.599198	0.0012643	-0.8006	-0.00179384	0.999998	0.00023661	0.800599	0.00129437	0.599199	6.80011	18.5944	14.603	0.600338	-0.000718443	-0.799746	0.00125392	0.999999	4.29314e-05	0.799746	-0.00102859	0.600338	8.60112	18.5981	17.0022	0.602583	-0.798057	8.15838e-05	0.00125156	0.000842777	-0.999999	0.798056	0.602582	0.00150666	10.4089	18.6019	19.3964	0.594563	-0.804049	0.000550141	0.00197188	0.000773915	-0.999998	0.804047	0.594562	0.00204563	6.79505	14.5944	14.5978	0.599591	-3.36257e-05	-0.800307	0.000130661	1	5.58752e-05	0.800307	-0.000138071	0.599591	8.59382	14.5948	16.9987	0.606092	-0.795395	-0.00060368	0.000123713	0.000853238	-1	0.795395	0.606091	0.000615541	10.4121	14.5952	19.3849	0.586721	-0.809781	-0.00377602	-0.00783733	-0.00101561	-0.999969	0.809751	0.586732	-0.0069424
0.028	5.00002	16.5996	12.1979	0.598859	0.0017254	-0.800853	-0.00258145	0.999997	0.000224096	0.80085	0.00193316	0.598861	6.80005	18.5919	14.6044	0.600905	-0.000980105	-0.79932	0.00174075	0.999998	8.24692e-05	0.799319	-0.00144097	0.600906	8.60276	18.5971	17.0023	0.603296	-0.797517	0.000343585	0.00173811	0.000884004	-0.999998	0.797515	0.603296	0.00191949	10.4127	18.6023	19.3949	0.592202	-0.805789	0.00127377	0.00316213	0.000743197	-0.999995	0.805784	0.592203	0.00298814	6.79315	14.5919	14.5966	0.599325	-0.000168846	-0.800506	0.000446508	1	0.000123369	0.800506	-0.00043137	0.599325	8.59112	14.5933	16.9981	0.607816	-0.794077	-0.000468618	0.000436688	0.000924399	-0.999999	0.794077	0.607816	0.000908629	10.4146	14.5946	19.3804	0.582216	-0.813021	-0.00467829	-0.0115806	-0.00253925	-0.99993	0.812952	0.582229	-0.0108937
0.032	5.00008	16.5995	12.1972	0.598416	0.00232034	-0.801182	-0.00350277	0.999994	0.000279847	0.801178	0.0026389	0.59842	6.79996	18.589	14.606	0.601402	-0.00128575	-0.798946	0.00232426	0.999997	0.000140263	0.798944	-0.00194131	0.601403	8.60417	18.5959	17.0028	0.60436	-0.796711	0.00064953	0.00232077	0.0009452	-0.999997	0.796708	0.60436	0.00242022	10.4172	18.6029	19.393	0.589367	-0.807862	0.00212417	0.00454782	0.000688469	-0.999989	0.807852	0.589371	0.00407977	6.79068	14.589	14.5954	0.599509	-0.000370533	-0.800368	0.000911622	1	0.000219889	0.800368	-0.000861458	0.599509	8.58921	14.5917	16.9965	0.609091	-0.7931	-0.000266822	0.000899334	0.00102711	-0.999999	0.7931	0.60909	0.00133886	10.4165	14.5944	19.3758	0.577683	-0.816243	-0.00546688	-0.0159436	-0.00458712	-0.999862	0.816105	0.577691	-0.0156637
0.036	5.00016	16.5993	12.1963	0.597873	0.00305332	-0.801585	-0.00447206	0.99999	0.000473517	0.801578	0.00330163	0.597881	6.79989	18.5859	14.6077	0.601584	-0.00156499	-0.798808	0.00286348	0.999996	0.000197347	0.798805	-0.00240609	0.601586	8.60464	18.5945	17.0041	0.605982	-0.795478	0.000928877	0.00285796	0.00100945	-0.999995	0.795474	0.605981	0.00288515	10.4226	18.603	19.3905	0.586069	-0.810255	0.00325099	0.00638195	0.000603935	-0.999979	0.810236	0.586078	0.00552495	6.78768	14.5859	14.5945	0.60036	-0.000620574	-0.79973	0.0014669	0.999999	0.000325227	0.799729	-0.00136838	0.60036	8.58875	14.5903	16.9937	0.609748	-0.792596	-1.62722e-05	0.00145357	0.00113877	-0.999998	0.792594	0.609747	0.00184646	10.418	14.5947	19.3714	0.573205	-0.819389	-0.0060913	-0.0208429	-0.00714856	-0.999757	0.819147	0.573193	-0.0211761
0.04	5.00025	16.5991	12.1954	0.596874	0.00389072	-0.802326	-0.00559688	0.999984	0.000685538	0.802315	0.00408134	0.596886	6.79866	18.5823	14.6105	0.60268	-0.00192908	-0.797981	0.00356584	0.999994	0.000275689	0.797975	-0.00301162	0.602683	8.6067	18.593	17.0045	0.607185	-0.79456	0.00129362	0.00355971	0.00109217	-0.999993	0.794553	0.607185	0.00349155	10.4282	18.6036	19.3881	0.582575	-0.812765	0.00441131	0.00824875	0.000485203	-0.999966	0.812735	0.582592	0.00698696	6.78309	14.5823	14.5942	0.602211	-0.000986367	-0.798336	0.00219182	0.999998	0.000417838	0.798334	-0.00200144	0.602212	8.58973	14.5889	16.9892	0.609797	-0.792558	0.00035063	0.00218014	0.00123501	-0.999997	0.792555	0.609796	0.00248099	10.4191	14.5955	19.3669	0.568795	-0.822453	-0.00658635	-0.0262958	-0.0101808	-0.999602	0.822059	0.568743	-0.0274178
0.044	5.00042	16.5989	12.1944	0.59601	0.00482501	-0.802962	-0.00671494	0.999977	0.00102461	0.802949	0.00478116	0.596029	6.7981	18.5787	14.6129	0.602935	-0.00223133	-0.797787	0.00415557	0.999991	0.000343732	0.797779	-0.0035225	0.602939	8.6069	18.5911	17.0062	0.609294	-0.792943	0.00159603	0.00414632	0.00117324	-0.999991	0.792933	0.609295	0.00400264	10.4348	18.6036	19.385	0.578531	-0.815639	0.00590979	0.010665	0.000319448	-0.999943	0.81559	0.578561	0.00888356	6.7788	14.5788	14.5937	0.604092	-0.00143524	-0.796913	0.00296608	0.999996	0.000447406	0.796909	-0.00263398	0.604093	8.59107	14.5877	16.9845	0.609764	-0.792582	0.00080064	0.00295712	0.00126487	-0.999995	0.792577	0.609763	0.00311503	10.4204	14.5965	19.3622	0.564345	-0.82551	-0.00691182	-0.0321889	-0.0136377	-0.999389	0.824911	0.564223	-0.0342686
0.048	5.00065	16.5986	12.1934	0.595164	0.00583743	-0.803583	-0.0079707	0.999967	0.00136062	0.803565	0.00559533	0.595191	6.79781	18.5746	14.6153	0.603142	-0.00260271	-0.797629	0.00490676	0.999988	0.000447329	0.797619	-0.00418358	0.603148	8.60724	18.5893	17.0081	0.61152	-0.791227	0.00196753	0.00489338	0.00129532	-0.999987	0.791214	0.611522	0.00466388	10.4418	18.604	19.3818	0.574234	-0.818658	0.00743178	0.0130877	0.000102938	-0.999914	0.818587	0.574282	0.0107735	6.77446	14.5747	14.5929	0.605842	-0.00206973	-0.795582	0.00389865	0.999992	0.000367349	0.795576	-0.00332425	0.605845	8.59199	14.5864	16.9796	0.609809	-0.792547	0.00143618	0.00389279	0.00118313	-0.999992	0.792539	0.60981	0.0038067	10.4214	14.5981	19.3572	0.559941	-0.828502	-0.00714601	-0.0385667	-0.0174477	-0.999104	0.827635	0.559714	-0.0417223
0.052	5.00095	16.5983	12.1922	0.594348	0.0067667	-0.804179	-0.00921352	0.999956	0.00160457	0.804155	0.00645565	0.594385	6.79753	18.5705	14.6176	0.603587	-0.00290571	-0.797292	0.00556001	0.999984	0.000564774	0.797278	-0.00477384	0.603594	8.60829	18.5872	17.0094	0.61356	-0.789645	0.0022708	0.00554247	0.00143086	-0.999984	0.789628	0.613563	0.0052545	10.449	18.6038	19.3783	0.569747	-0.821768	0.00925766	0.0160009	-0.000170361	-0.999872	0.821664	0.569822	0.013052	6.77046	14.5707	14.5918	0.607155	-0.00286198	-0.794579	0.00487693	0.999988	0.000124718	0.794569	-0.00395082	0.607161	8.59192	14.5853	16.9755	0.610164	-0.792272	0.00222924	0.0048734	0.000939529	-0.999988	0.79226	0.610168	0.00443432	10.4224	14.6	19.3523	0.55562	-0.831404	-0.00726744	-0.0453246	-0.0215599	-0.99874	0.8302	0.555249	-0.0496622
