time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	4.99999	16.6	12.1999	0.59992	-5.71672e-05	-0.80006	5.81045e-05	1	-2.78843e-05	0.80006	-2.97588e-05	0.59992	6.79963	18.6002	14.6	0.600312	4.28529e-05	-0.799766	-7.14349e-05	1	-3.79097e-08	0.799766	5.7154e-05	0.600312	8.60057	18.6	16.9993	0.599806	-0.800145	-0.000679728	-7.09314e-05	0.000796334	-1	0.800145	0.599806	0.000420891	10.4	18.5998	19.3997	0.599895	-0.800079	-0.000568338	0.000114663	0.000796326	-1	0.800079	0.599894	0.000569451	6.79986	14.6002	14.6001	0.600207	0.000244665	-0.799845	-0.000407833	1	-1.49134e-07	0.799845	0.000326293	0.600207	8.60048	14.599	16.9996	0.599821	-0.800133	-0.000881603	-0.000407449	0.000796374	-1	0.800134	0.599822	0.000151668	10.3999	14.5977	19.4	0.599944	-0.800041	-0.000765609	-0.00022787	0.000786083	-1	0.800042	0.599944	0.0002893
0.016	4.99999	16.6001	12.1995	0.599906	-0.00017884	-0.800071	0.000191117	1	-8.02274e-05	0.800071	-0.000104778	0.599906	6.79935	18.6006	14.5995	0.600283	0.000172626	-0.799788	-0.000287861	1	-2.14952e-07	0.799788	0.000230357	0.600283	8.60019	18.5998	16.9989	0.600258	-0.799806	-0.000809519	-0.000287837	0.000796121	-1	0.799806	0.600258	0.000247664	10.401	18.5989	19.3983	0.599171	-0.800621	-0.000276962	0.000601884	0.000796374	-1	0.800621	0.59917	0.000959045	6.80006	14.6006	14.6	0.599889	0.000655324	-0.800083	-0.00109246	0.999999	-4.04565e-08	0.800083	0.000874086	0.599889	8.59973	14.5974	17.0002	0.60066	-0.799504	-0.00129245	-0.00109323	0.000795232	-0.999999	0.799504	0.600661	-0.000396378	10.4017	14.5941	19.3987	0.598742	-0.800941	-0.00103989	-0.000785924	0.000710815	-0.999999	0.800941	0.598743	-0.000203884
0.02	4.99998	16.6001	12.1991	0.599902	-0.000364866	-0.800074	0.000359511	1	-0.000186476	0.800074	-0.000175768	0.599902	6.79896	18.6012	14.5989	0.600465	0.000335976	-0.799651	-0.000561784	1	-1.69506e-06	0.799651	0.000450249	0.600465	8.60035	18.5995	16.9979	0.600553	-0.799585	-0.00097276	-0.000561872	0.00079457	-1	0.799585	0.600553	2.7917e-05	10.402	18.5978	19.3966	0.598243	-0.801315	6.52274e-05	0.00117581	0.000796436	-0.999999	0.801314	0.598243	0.00141866	6.80042	14.6012	14.5996	0.599403	0.00114598	-0.800447	-0.00191427	0.999998	-1.80595e-06	0.800445	0.00153335	0.599404	8.59863	14.5954	17.001	0.601421	-0.79893	-0.00178339	-0.00191627	0.000789685	-0.999998	0.79893	0.601423	-0.00105603	10.4029	14.5897	19.3978	0.597701	-0.801718	-0.00145492	-0.00176412	0.000499552	-0.999998	0.801717	0.597703	-0.00111574
0.024	4.99998	16.6001	12.1985	0.599843	-0.000581798	-0.800118	0.000512709	1	-0.000342765	0.800118	-0.000204623	0.599843	6.79834	18.6017	14.5984	0.600853	0.000480886	-0.799359	-0.000812286	1	-8.98135e-06	0.799359	0.000654705	0.600854	8.6009	18.5992	16.9965	0.600929	-0.799301	-0.00111744	-0.000812361	0.000787268	-0.999999	0.799302	0.60093	-0.000176229	10.4037	18.5968	19.3944	0.596844	-0.802357	0.000375521	0.00170068	0.000797053	-0.999998	0.802355	0.596844	0.00184027	6.80067	14.6017	14.5992	0.598886	0.00162477	-0.800832	-0.00272563	0.999996	-9.45597e-06	0.800829	0.00218843	0.598888	8.59733	14.5935	17.0017	0.602219	-0.798328	-0.0022625	-0.00272888	0.000775499	-0.999996	0.798326	0.602223	-0.00171152	10.404	14.5853	19.3967	0.59647	-0.802633	-0.00199749	-0.00323418	8.52053e-05	-0.999995	0.802629	0.596473	-0.00254504
0.028	4.99999	16.6002	12.1977	0.599908	-0.000801769	-0.800068	0.000645803	1	-0.000517889	0.800069	-0.000206001	0.599909	6.79811	18.6021	14.5975	0.600754	0.00059465	-0.799434	-0.0010275	0.999999	-2.83041e-05	0.799433	0.000838425	0.600754	8.60037	18.599	16.9958	0.602075	-0.798438	-0.00123126	-0.00102877	0.000766322	-0.999999	0.798439	0.602076	-0.000360028	10.4066	18.5959	19.3911	0.59473	-0.803925	0.000630512	0.00213926	0.0007983	-0.999997	0.803923	0.59473	0.00219458	6.80132	14.6021	14.5983	0.597829	0.00201896	-0.801621	-0.00342386	0.999994	-3.48471e-05	0.801616	0.00276547	0.597833	8.59481	14.5918	17.0031	0.603695	-0.797211	-0.00265731	-0.00342935	0.000736331	-0.999994	0.797208	0.603701	-0.0022894	10.4059	14.5816	19.3948	0.594547	-0.804057	-0.00262524	-0.00521997	-0.000594871	-0.999986	0.804044	0.594552	-0.00455083
0.032	5.00001	16.6002	12.1967	0.599976	-0.00112035	-0.800017	0.000798903	0.999999	-0.000801265	0.800017	-0.000158396	0.599977	6.7977	18.6026	14.5965	0.601146	0.000700073	-0.799139	-0.00125784	0.999999	-7.01637e-05	0.799139	0.00104736	0.601146	8.60114	18.5988	16.9939	0.602625	-0.798023	-0.00133645	-0.00125918	0.000723831	-0.999999	0.798024	0.602626	-0.000568656	10.409	18.595	19.388	0.592763	-0.805377	0.000834268	0.00250016	0.000804264	-0.999997	0.805373	0.592763	0.00249031	6.80218	14.6026	14.5971	0.596329	0.00228917	-0.802737	-0.00397708	0.999992	-0.000102763	0.802731	0.00325383	0.596333	8.59117	14.5907	17.0053	0.605411	-0.795907	-0.00292841	-0.00398471	0.000648323	-0.999992	0.795903	0.605418	-0.00277895	10.4074	14.5787	19.393	0.592814	-0.805333	-0.00328086	-0.00769313	-0.00158919	-0.999969	0.805303	0.592821	-0.00713762
0.036	5.00005	16.6002	12.1957	0.60002	-0.00152332	-0.799984	0.00100325	0.999999	-0.00115171	0.799984	-0.000111541	0.600021	6.79706	18.6032	14.5954	0.601799	0.000824987	-0.798647	-0.00157079	0.999999	-0.000150643	0.798646	0.00134516	0.601799	8.60246	18.5985	16.9913	0.602918	-0.797802	-0.00146097	-0.00157169	0.000643479	-0.999999	0.797801	0.60292	-0.000865932	10.4112	18.5938	19.3847	0.59089	-0.806752	0.00110937	0.00298292	0.000809683	-0.999995	0.806747	0.59089	0.00288491	6.80315	14.6032	14.5958	0.59444	0.00241677	-0.804136	-0.0043989	0.99999	-0.00024639	0.804128	0.00368378	0.594445	8.58648	14.59	17.0082	0.60768	-0.794176	-0.00305713	-0.0044074	0.00047698	-0.99999	0.79417	0.607688	-0.0032104	10.4095	14.5768	19.3907	0.590564	-0.806982	-0.00390978	-0.0106014	-0.00291363	-0.99994	0.806922	0.590569	-0.0102758
0.04	5.00009	16.6002	12.1944	0.600074	-0.00191102	-0.799942	0.00122818	0.999998	-0.00146763	0.799943	-0.000101788	0.600076	6.79649	18.6039	14.5941	0.602319	0.000897973	-0.798255	-0.00186541	0.999998	-0.000282618	0.798253	0.0016593	0.602319	8.60345	18.5983	16.9888	0.60323	-0.797566	-0.00153364	-0.001866	0.000511577	-0.999998	0.797565	0.603232	-0.00117966	10.4131	18.5927	19.3815	0.589285	-0.807924	0.00123949	0.00322908	0.000821074	-0.999994	0.807919	0.589286	0.00309269	6.80414	14.6039	14.5945	0.592715	0.00237917	-0.805409	-0.00470224	0.999989	-0.000506505	0.805398	0.00408744	0.59272	8.58228	14.5898	17.0107	0.609515	-0.792769	-0.00302054	-0.00470729	0.000190905	-0.999989	0.792761	0.609522	-0.00361544	10.4108	14.5757	19.3889	0.588475	-0.808503	-0.00448588	-0.0138993	-0.00456894	-0.999893	0.808396	0.588475	-0.0139263
0.044	5.00013	16.6002	12.1931	0.599987	-0.00233223	-0.800007	0.00145438	0.999997	-0.0018245	0.800009	-6.88422e-05	0.599988	6.79542	18.6045	14.593	0.603618	0.0008963	-0.797273	-0.00213381	0.999998	-0.000491312	0.797271	0.0019978	0.603619	8.60628	18.5981	16.9848	0.602375	-0.798212	-0.00153119	-0.00213333	0.000308339	-0.999998	0.798211	0.602376	-0.00151712	10.4134	18.5917	19.3794	0.588718	-0.808337	0.00132526	0.00337377	0.000817663	-0.999994	0.808331	0.588719	0.00320852	6.80475	14.6046	14.5932	0.591297	0.00217504	-0.806451	-0.00493136	0.999987	-0.000918701	0.806439	0.00452013	0.5913	8.57864	14.5898	17.0126	0.610883	-0.791716	-0.00281723	-0.00492688	-0.000243204	-0.999988	0.791705	0.61089	-0.00404926	10.4113	14.575	19.3877	0.586847	-0.809682	-0.00500279	-0.0175293	-0.00652736	-0.999825	0.809508	0.586832	-0.0180237
0.048	5.00018	16.6002	12.1916	0.599905	-0.00275826	-0.800067	0.00169931	0.999996	-0.00217336	0.80007	-5.57521e-05	0.599907	6.79438	18.6053	14.5917	0.604947	0.000807056	-0.796265	-0.0023577	0.999997	-0.000777665	0.796262	0.0023478	0.604947	8.60922	18.5982	16.9805	0.601187	-0.799107	-0.00144114	-0.00235758	2.97722e-05	-0.999997	0.799105	0.601189	-0.00186606	10.4128	18.5911	19.3778	0.588842	-0.808248	0.00124117	0.00321754	0.000808486	-0.999994	0.808242	0.588842	0.00307664	6.80541	14.6053	14.5919	0.589665	0.00180728	-0.807646	-0.00514236	0.999986	-0.00151677	0.807631	0.00504759	0.589666	8.57441	14.5898	17.0148	0.612836	-0.790207	-0.00245043	-0.00511931	-0.000869259	-0.999987	0.790194	0.61284	-0.00457802	10.4129	14.5745	19.3854	0.584448	-0.811413	-0.00539652	-0.0214375	-0.00879207	-0.999732	0.811148	0.584407	-0.0225331
