time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	5.00002	16.6	12.1998	0.600134	0.0002391	-0.7999	-0.000190148	1	0.000156252	0.7999	5.83273e-05	0.600134	6.8009	18.5994	14.5996	0.598775	-0.000120729	-0.800917	0.000201149	1	-3.57131e-07	0.800917	-0.00016089	0.598775	8.59723	18.6	17.0024	0.60151	-0.798865	-0.000517063	0.000198427	0.000796653	-1	0.798865	0.601509	0.000637711	10.4018	18.6006	19.399	0.599303	-0.800522	-0.000856334	-0.000365486	0.000796102	-1	0.800522	0.599303	0.000184527	6.79995	14.5994	14.5994	0.600038	9.84507e-05	-0.799971	-0.000164069	1	3.67467e-09	0.799971	0.000131248	0.600038	8.60006	14.5989	16.9993	0.600352	-0.799736	-0.000735489	-0.000164381	0.000796266	-1	0.799736	0.600351	0.000346578	10.4011	14.5984	19.3985	0.598885	-0.800834	-0.00109668	-0.000784039	0.000783094	-0.999999	0.800834	0.598886	-0.000158901
0.016	5.00009	16.5999	12.1995	0.600577	0.000770668	-0.799566	-0.000565624	1	0.000539001	0.799567	0.000128542	0.600577	6.80336	18.5982	14.5984	0.595803	-0.000356004	-0.803131	0.000594928	1	-1.92208e-06	0.803131	-0.00047666	0.595803	8.59077	18.6	17.0078	0.604732	-0.796429	-0.000283551	0.000586022	0.000800997	-1	0.796429	0.604731	0.000951114	10.405	18.6018	19.3971	0.598098	-0.801422	-0.00126493	-0.00104659	0.000797289	-0.999999	0.801423	0.598099	-0.000361903	6.80028	14.5982	14.5979	0.600041	0.000209311	-0.799969	-0.00034738	1	1.08629e-06	0.799969	0.000277241	0.600041	8.6004	14.5972	16.9978	0.600765	-0.799425	-0.000846348	-0.000348102	0.000797098	-1	0.799425	0.600766	0.000200588	10.4027	14.5961	19.3961	0.5969	-0.802314	-0.00181859	-0.00228631	0.00056573	-0.999997	0.802313	0.596902	-0.00149665
0.02	5.00015	16.5999	12.199	0.600785	0.00144575	-0.799409	-0.00111562	0.999999	0.00097009	0.79941	0.000309024	0.600786	6.8054	18.5965	14.5979	0.593077	-0.000678616	-0.805145	0.00116397	0.999999	1.45407e-05	0.805145	-0.000945788	0.593078	8.58463	18.6	17.0133	0.607916	-0.794002	3.74576e-05	0.00114872	0.000832326	-0.999999	0.794001	0.607915	0.00141807	10.4084	18.6034	19.3953	0.596999	-0.80224	-0.00183698	-0.0019988	0.000802374	-0.999998	0.802239	0.597001	-0.0011245	6.79962	14.5965	14.5966	0.600661	0.000300956	-0.799504	-0.00048052	1	1.54172e-05	0.799504	0.000374917	0.600661	8.6016	14.5951	16.9951	0.600914	-0.799313	-0.000937622	-0.000480777	0.000811591	-1	0.799313	0.600915	0.000103406	10.4043	14.5936	19.3931	0.594272	-0.80426	-0.00261706	-0.00439522	6.31989e-06	-0.99999	0.804252	0.594278	-0.00353114
0.024	5.00026	16.5997	12.1984	0.601129	0.00232811	-0.799148	-0.00181705	0.999997	0.00154643	0.79915	0.000522489	0.601132	6.8083	18.5943	14.5969	0.589402	-0.00104371	-0.807839	0.00188145	0.999998	8.07404e-05	0.807837	-0.0015675	0.589403	8.57651	18.5999	17.0204	0.611965	-0.790885	0.000400406	0.00185595	0.000929812	-0.999998	0.790882	0.611965	0.00203686	10.4124	18.6055	19.3931	0.595769	-0.803152	-0.00253411	-0.00315402	0.000815569	-0.999995	0.80315	0.595774	-0.00204727	6.79899	14.5943	14.5948	0.601416	0.000373158	-0.798936	-0.000538953	1	6.13603e-05	0.798936	0.000393686	0.601416	8.60323	14.5927	16.9916	0.600946	-0.799289	-0.00100937	-0.000538449	0.000858004	-0.999999	0.79929	0.600946	8.52374e-05	10.4061	14.5911	19.3895	0.591083	-0.806604	-0.00334326	-0.00698303	-0.00097244	-0.999975	0.806581	0.591091	-0.00620733
0.028	5.00039	16.5996	12.1977	0.601455	0.00335276	-0.7989	-0.00263698	0.999994	0.00221143	0.798903	0.00077661	0.60146	6.81146	18.5917	14.596	0.585384	-0.00140035	-0.810755	0.00270131	0.999996	0.0002232	0.810751	-0.00232076	0.585386	8.56761	18.5998	17.0282	0.616321	-0.787494	0.000754725	0.00265984	0.0011233	-0.999996	0.78749	0.616321	0.00278692	10.4166	18.6078	19.3907	0.594614	-0.804004	-0.00330535	-0.00442212	0.00084061	-0.99999	0.803999	0.594623	-0.00305557	6.79805	14.5917	14.5929	0.602482	0.000426948	-0.798132	-0.000523863	1	0.000139488	0.798132	0.000334073	0.602483	8.6055	14.5901	16.9872	0.600762	-0.799427	-0.00106252	-0.000521846	0.00093694	-0.999999	0.799428	0.600762	0.0001457	10.4078	14.5886	19.3855	0.587461	-0.809243	-0.00389755	-0.00992854	-0.00239148	-0.999948	0.809191	0.587469	-0.0094395
0.032	5.00055	16.5995	12.1969	0.601597	0.00443568	-0.798787	-0.00353106	0.99999	0.00289359	0.798792	0.00107979	0.601606	6.81421	18.5888	14.5954	0.581654	-0.00170071	-0.813434	0.00356191	0.999994	0.000456214	0.813428	-0.00316274	0.581656	8.55918	18.5995	17.0357	0.620497	-0.784208	0.00105295	0.00349683	0.00142415	-0.999993	0.784201	0.620497	0.00362593	10.4207	18.61	19.3883	0.593626	-0.804731	-0.0040905	-0.00569414	0.000882586	-0.999983	0.804721	0.593639	-0.00405832	6.79647	14.5889	14.5911	0.60396	0.000466619	-0.797015	-0.000451886	1	0.000243029	0.797015	0.00021338	0.60396	8.60835	14.5875	16.9822	0.600429	-0.799677	-0.0011013	-0.000447285	0.00104134	-0.999999	0.799678	0.600429	0.000267569	10.4096	14.5862	19.3812	0.583384	-0.812186	-0.0042269	-0.0131262	-0.00422451	-0.999905	0.81209	0.583384	-0.0131254
0.036	5.00078	16.5993	12.196	0.601965	0.00565162	-0.798502	-0.00446744	0.999983	0.0037098	0.79851	0.00133409	0.60198	6.81798	18.5859	14.5942	0.576842	-0.00194319	-0.816854	0.00441511	0.99999	0.000738996	0.816844	-0.00403278	0.576845	8.54851	18.5991	17.0447	0.625523	-0.780204	0.0012927	0.0043134	0.00180138	-0.999989	0.780194	0.625522	0.00449214	10.4251	18.612	19.3853	0.592516	-0.805544	-0.00483806	-0.006869	0.000953334	-0.999976	0.805529	0.592535	-0.00496842	6.79538	14.5859	14.5889	0.605316	0.000481829	-0.795985	-0.000333379	1	0.000351802	0.795985	5.24135e-05	0.605316	8.61132	14.5849	16.9768	0.600198	-0.79985	-0.00111569	-0.000326009	0.00115024	-0.999999	0.799851	0.600198	0.000429616	10.4119	14.5839	19.3764	0.578724	-0.815512	-0.00432112	-0.0165007	-0.00641179	-0.999843	0.815356	0.578705	-0.0171671
0.04	5.00105	16.5991	12.195	0.602105	0.00685467	-0.798388	-0.0054037	0.999975	0.00451022	0.798399	0.00159862	0.602127	6.82107	18.5828	14.5934	0.572576	-0.00211497	-0.819849	0.00520724	0.999986	0.00105702	0.819835	-0.00487438	0.572579	8.5388	18.5985	17.0529	0.630126	-0.776492	0.0014621	0.00506027	0.00222349	-0.999985	0.776476	0.630124	0.00533034	10.4292	18.6136	19.3823	0.591635	-0.806187	-0.0055214	-0.00788066	0.0010652	-0.999968	0.806167	0.59166	-0.00572308	6.79365	14.5829	14.587	0.607034	0.000457612	-0.794676	-0.000186249	1	0.000433576	0.794676	-0.000115188	0.607034	8.61476	14.5824	16.971	0.599935	-0.800048	-0.00109043	-0.000175292	0.00123151	-0.999999	0.800049	0.599934	0.000598585	10.4146	14.5819	19.3712	0.573505	-0.819191	-0.00419825	-0.0199969	-0.00887591	-0.999761	0.818958	0.573452	-0.0214716
0.044	5.00138	16.5989	12.194	0.60233	0.00811063	-0.798206	-0.00633743	0.999965	0.00537847	0.798222	0.00181896	0.60236	6.82459	18.5798	14.5923	0.567793	-0.00223969	-0.823169	0.00593948	0.999981	0.00137608	0.82315	-0.00567052	0.567795	8.52797	18.5976	17.0617	0.635139	-0.772396	0.00158418	0.00573529	0.00266517	-0.99998	0.772376	0.635136	0.00612267	10.4334	18.6148	19.3788	0.590692	-0.806874	-0.00615461	-0.00873128	0.00123548	-0.999961	0.80685	0.590723	-0.00631525	6.79215	14.58	14.585	0.608705	0.000365091	-0.793396	-2.16867e-07	1	0.000459996	0.793397	-0.00027983	0.608705	8.61826	14.58	16.9652	0.599772	-0.80017	-0.000996894	1.38679e-05	0.00125625	-0.999999	0.800171	0.599771	0.000764558	10.4176	14.58	19.3657	0.567738	-0.8232	-0.00391315	-0.0236002	-0.0115244	-0.999655	0.822871	0.567635	-0.0259705
0.048	5.00179	16.5987	12.1928	0.602624	0.00942106	-0.79797	-0.00727929	0.999954	0.00630845	0.797992	0.00200703	0.602664	6.8285	18.5767	14.5908	0.562573	-0.00229979	-0.826744	0.00664365	0.999976	0.00173912	0.826721	-0.00647098	0.562575	8.51622	18.5967	17.071	0.64046	-0.76799	0.00164143	0.00636496	0.00317077	-0.999975	0.767965	0.640454	0.00691897	10.4376	18.6158	19.3749	0.589733	-0.80757	-0.00679457	-0.00949137	0.00148209	-0.999954	0.807543	0.58977	-0.00679091	6.79082	14.5769	14.5828	0.610381	0.000168852	-0.792108	0.000241863	1	0.000399543	0.792108	-0.000435455	0.610381	8.62196	14.5777	16.9591	0.599581	-0.800314	-0.000799628	0.000258062	0.00119248	-0.999999	0.800314	0.59958	0.000921518	10.4207	14.5784	19.3601	0.561596	-0.827404	-0.0035404	-0.0273162	-0.0142638	-0.999525	0.826961	0.561426	-0.030612
0.052	5.00224	16.5984	12.1916	0.602723	0.0107134	-0.797879	-0.00824034	0.99994	0.0072018	0.797908	0.0022341	0.602775	6.83184	18.5736	14.5898	0.557887	-0.00220607	-0.829914	0.00737177	0.99997	0.00229735	0.829884	-0.0073996	0.557886	8.5055	18.5957	17.0795	0.645394	-0.763848	0.00154519	0.00698875	0.00388214	-0.999968	0.763818	0.645384	0.00784385	10.4417	18.6167	19.3709	0.588897	-0.808173	-0.00752445	-0.0102812	0.00181825	-0.999945	0.808143	0.588942	-0.00723825	6.78898	14.5738	14.5809	0.612324	-0.00015913	-0.790607	0.000556356	1	0.00022962	0.790607	-0.000580461	0.612324	8.62595	14.5755	16.9527	0.599275	-0.800543	-0.000470452	0.000573106	0.00101668	-0.999999	0.800543	0.599275	0.00106807	10.4238	14.5772	19.3543	0.555202	-0.83171	-0.00315498	-0.031163	-0.0170117	-0.99937	0.831132	0.55495	-0.0353635
