time	torso_X	torso_Y	torso_Z	torso_R00	torso_R01	torso_R02	torso_R10	torso_R11	torso_R12	torso_r20	torso_R21	torso_R22	left_arm_X	left_arm_Y	left_arm_Z	left_arm_R00	left_arm_R01	left_arm_R02	left_arm_R10	left_arm_R11	left_arm_R12	left_arm_r20	left_arm_R21	left_arm_R22	left_forearm_X	left_forearm_Y	left_forearm_Z	left_forearm_R00	left_forearm_R01	left_forearm_R02	left_forearm_R10	left_forearm_R11	left_forearm_R12	left_forearm_r20	left_forearm_R21	left_forearm_R22	left_hand_X	left_hand_Y	left_hand_Z	left_hand_R00	left_hand_R01	left_hand_R02	left_hand_R10	left_hand_R11	left_hand_R12	left_hand_r20	left_hand_R21	left_hand_R22	right_arm_X	right_arm_Y	right_arm_Z	right_arm_R00	right_arm_R01	right_arm_R02	right_arm_R10	right_arm_R11	right_arm_R12	right_arm_r20	right_arm_R21	right_arm_R22	right_forearm_X	right_forearm_Y	right_forearm_Z	right_forearm_R00	right_forearm_R01	right_forearm_R02	right_forearm_R10	right_forearm_R11	right_forearm_R12	right_forearm_r20	right_forearm_R21	right_forearm_R22	right_hand_X	right_hand_Y	right_hand_Z	right_hand_R00	right_hand_R01	right_hand_R02	right_hand_R10	right_hand_R11	right_hand_R12	right_hand_r20	right_hand_R21	right_hand_R22
0.004	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.008	5	16.6	12.2	0.6	0	-0.8	0	1	0	0.8	0	0.6	6.8	18.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	18.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	18.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	6.8	14.6	14.6	0.6	0	-0.8	0	1	0	0.8	0	0.6	8.6	14.6	17	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796	10.4	14.6	19.4	0.6	-0.8	-0.000637061	0	0.000796327	-1	0.8	0.6	0.000477796
0.012	4.99998	16.6	12.1999	0.599814	2.48255e-05	-0.80014	6.95244e-05	1	8.31445e-05	0.80014	-0.0001055	0.599814	6.79948	18.6002	14.6001	0.600017	-3.25437e-05	-0.799988	5.42456e-05	1	5.66245e-09	0.799988	-4.33992e-05	0.600017	8.59953	18.6004	17	0.600183	-0.799862	-0.000604508	5.40796e-05	0.000796344	-1	0.799862	0.600183	0.000521208	10.4001	18.6006	19.3996	0.600026	-0.79998	-0.000974108	-0.000561737	0.000796333	-1	0.79998	0.600026	2.8442e-05	6.79938	14.6002	14.6005	0.600774	0.00038796	-0.799419	-0.00064681	1	-7.84176e-07	0.799419	0.000517544	0.600774	8.6017	14.5983	16.9987	0.599298	-0.800526	-0.00102456	-0.000645342	0.000796734	-0.999999	0.800526	0.599298	-3.91315e-05	10.3996	14.5964	19.4003	0.600182	-0.799863	-0.000701527	-0.000128192	0.000780869	-1	0.799863	0.600182	0.000366128
0.016	4.99995	16.6	12.1996	0.599485	0.000111508	-0.800386	0.000145282	1	0.000248134	0.800386	-0.000265035	0.599485	6.79863	18.6005	14.6002	0.599986	-0.000126006	-0.800011	0.000210858	1	6.32465e-07	0.800011	-0.000169068	0.599986	8.59859	18.6011	17.0002	0.600565	-0.799576	-0.000511064	0.00021028	0.000797112	-1	0.799576	0.600565	0.000646853	10.4003	18.6017	19.399	0.600091	-0.79993	-0.00167113	-0.00172302	0.000796512	-0.999998	0.79993	0.600093	-0.000900317	6.79819	14.6005	14.6013	0.602283	0.000914353	-0.798282	-0.0015238	0.999999	-4.26871e-06	0.798281	0.00121899	0.602283	8.60504	14.5959	16.9961	0.597914	-0.801558	-0.00155005	-0.00151945	0.000800367	-0.999999	0.801559	0.597916	-0.00073938	10.3988	14.5913	19.4008	0.600522	-0.799608	-0.00103528	-0.000762346	0.000722199	-0.999999	0.799608	0.600522	-0.000175881
0.02	4.99992	16.6	12.1991	0.599091	0.000254435	-0.800681	0.000194	1	0.000462929	0.800681	-0.000432668	0.599091	6.7977	18.6006	14.6003	0.599839	-0.000294741	-0.800121	0.000501818	1	7.83474e-06	0.800121	-0.000406214	0.599839	8.59722	18.6021	17.0007	0.601137	-0.799146	-0.000342417	0.000500511	0.000804975	-1	0.799146	0.601136	0.000883882	10.4006	18.6036	19.3981	0.600217	-0.799833	-0.00276678	-0.00354593	0.000798218	-0.999993	0.79983	0.600223	-0.00235704	6.79669	14.6006	14.602	0.604155	0.00144959	-0.796866	-0.00240823	0.999997	-6.72258e-06	0.796863	0.0019231	0.604156	8.60915	14.5934	16.9926	0.596275	-0.802777	-0.00208415	-0.00240033	0.000813287	-0.999997	0.802776	0.596279	-0.00144199	10.398	14.5862	19.4009	0.600878	-0.799339	-0.00164505	-0.00207404	0.000498919	-0.999998	0.799338	0.600881	-0.00135807
0.024	4.9999	16.6	12.1985	0.598677	0.000440163	-0.80099	0.000200652	1	0.000699495	0.80099	-0.000579493	0.598677	6.79681	18.6006	14.6003	0.599557	-0.000543184	-0.800332	0.000948738	1	3.20355e-05	0.800331	-0.000778512	0.599558	8.59549	18.6035	17.0013	0.601867	-0.798596	-9.41419e-05	0.00094634	0.000831099	-0.999999	0.798596	0.601866	0.00125596	10.4011	18.6063	19.3971	0.600423	-0.799671	-0.0043084	-0.0061043	0.00080428	-0.999981	0.799659	0.600438	-0.00439852	6.79505	14.6006	14.6027	0.606105	0.0019339	-0.795383	-0.00318809	0.999995	1.97691e-06	0.795378	0.00253456	0.606108	8.61337	14.5911	16.9888	0.594657	-0.803975	-0.00256728	-0.00317634	0.000843854	-0.999995	0.803973	0.594662	-0.0020519	10.3973	14.5815	19.4007	0.601194	-0.799099	-0.00245074	-0.00411982	-3.26557e-05	-0.999992	0.799092	0.601199	-0.00331178
0.028	4.99989	16.6	12.1978	0.598218	0.00067847	-0.801333	0.000163466	1	0.000968709	0.801333	-0.00071049	0.598218	6.7959	18.6004	14.6004	0.599195	-0.000868247	-0.800603	0.00156263	0.999999	8.50297e-05	0.800602	-0.001302	0.599196	8.59348	18.6051	17.0022	0.60271	-0.79796	0.000230706	0.00155874	0.000888218	-0.999998	0.797959	0.602709	0.00177915	10.4016	18.6098	19.3961	0.600728	-0.799429	-0.00633937	-0.00946203	0.000819306	-0.999955	0.799398	0.600761	-0.00707204	6.79319	14.6004	14.6032	0.608336	0.00234611	-0.793676	-0.00381672	0.999993	3.0548e-05	0.79367	0.00301065	0.608341	8.61819	14.589	16.9842	0.592725	-0.805399	-0.00297814	-0.00379985	0.000901225	-0.999992	0.805396	0.592732	-0.00252622	10.3964	14.5776	19.4004	0.601625	-0.798772	-0.00334797	-0.00689096	-0.000998893	-0.999976	0.798749	0.601633	-0.00610527
0.032	4.99988	16.5999	12.1969	0.597709	0.000968581	-0.801712	9.11825e-05	0.999999	0.00127612	0.801713	-0.000835851	0.597709	6.79495	18.6001	14.6004	0.598766	-0.00126061	-0.800923	0.00234216	0.999997	0.000177042	0.800921	-0.0019819	0.598767	8.59125	18.6072	17.0032	0.603647	-0.797251	0.000622814	0.00233617	0.000987656	-0.999997	0.797248	0.603647	0.00245871	10.4022	18.6142	19.3949	0.601131	-0.799101	-0.00888591	-0.013651	0.000849721	-0.999906	0.799034	0.601197	-0.0103978	6.79108	14.6001	14.6037	0.610923	0.00268368	-0.791686	-0.00428537	0.999991	8.28868e-05	0.791679	0.00334203	0.610929	8.62384	14.5873	16.9788	0.590438	-0.807076	-0.00331412	-0.00426144	0.000988713	-0.99999	0.807071	0.590447	-0.00285553	10.3952	14.5745	19.4	0.60207	-0.798432	-0.00424005	-0.0103411	-0.00248769	-0.999943	0.798376	0.60208	-0.00975442
0.036	4.9999	16.5998	12.1959	0.597202	0.00127904	-0.80209	-1.32245e-06	0.999999	0.00159365	0.802091	-0.000950672	0.597202	6.79407	18.5998	14.6003	0.598231	-0.0017047	-0.801322	0.00327382	0.999995	0.000316734	0.801317	-0.00281286	0.598234	8.58876	18.6096	17.0042	0.604676	-0.796471	0.00106659	0.00326473	0.00113943	-0.999994	0.796465	0.604676	0.00328925	10.4028	18.6194	19.3936	0.601629	-0.798686	-0.0119478	-0.0186564	0.000903275	-0.999826	0.798558	0.601747	-0.0143572	6.78895	14.5998	14.6041	0.61351	0.00295191	-0.789681	-0.00460542	0.999989	0.000160075	0.789673	0.00353861	0.613517	8.62948	14.5859	16.9731	0.588309	-0.808629	-0.00358076	-0.00457298	0.00110111	-0.999989	0.808624	0.588319	-0.00305005	10.3944	14.5722	19.399	0.602202	-0.798328	-0.00505004	-0.0144044	-0.00454063	-0.999886	0.798214	0.602206	-0.0142338
0.04	4.99995	16.5996	12.1948	0.596706	0.00158755	-0.802458	-9.38235e-05	0.999998	0.00190858	0.80246	-0.00106357	0.596705	6.79324	18.5993	14.6	0.597606	-0.00217816	-0.801787	0.00433156	0.99999	0.000511885	0.801778	-0.00377889	0.59761	8.58606	18.6123	17.0054	0.605771	-0.795637	0.00153968	0.00431796	0.00135241	-0.99999	0.795627	0.605772	0.00425478	10.4034	18.6253	19.3923	0.602219	-0.798181	-0.0154941	-0.0244107	0.000988405	-0.999702	0.797958	0.602417	-0.0188889	6.78689	14.5993	14.6043	0.616015	0.00316455	-0.787728	-0.00480075	0.999988	0.000263015	0.78772	0.00361967	0.616023	8.63494	14.5849	16.9675	0.586326	-0.810067	-0.00379184	-0.00475809	0.00123695	-0.999988	0.810061	0.586337	-0.00312911	10.3939	14.5707	19.3976	0.602119	-0.798386	-0.00572622	-0.0190028	-0.0071606	-0.999794	0.79818	0.602104	-0.0194831
0.044	5.00002	16.5994	12.1935	0.596176	0.00189475	-0.802852	-0.000158818	0.999997	0.00224208	0.802854	-0.00120917	0.596174	6.79234	18.599	14.5997	0.596949	-0.00265337	-0.802275	0.00547694	0.999985	0.000767966	0.80226	-0.00485245	0.596954	8.58318	18.6154	17.0065	0.606906	-0.794771	0.0020145	0.00545701	0.00163245	-0.999984	0.794755	0.606907	0.00532782	10.4039	18.6318	19.3907	0.602898	-0.797581	-0.0194659	-0.0307983	0.00111385	-0.999525	0.797223	0.603211	-0.0238926	6.78476	14.599	14.6045	0.618797	0.00334556	-0.785544	-0.00490474	0.999988	0.000395247	0.785536	0.00360831	0.618805	8.64115	14.5843	16.9611	0.583869	-0.811838	-0.00397111	-0.00484797	0.00140481	-0.999987	0.811834	0.58388	-0.00311554	10.3928	14.5697	19.3966	0.60227	-0.798268	-0.00624722	-0.0240482	-0.0103204	-0.999658	0.79793	0.602214	-0.0254126
0.048	5.00012	16.5993	12.1922	0.59562	0.00218325	-0.803263	-0.00016743	0.999997	0.00259381	0.803266	-0.00141043	0.595618	6.79135	18.5988	14.5992	0.59625	-0.00310205	-0.802793	0.00666632	0.999977	0.00108723	0.802771	-0.00599994	0.596257	8.5801	18.6188	17.0075	0.608084	-0.793869	0.00246276	0.00663767	0.00198214	-0.999976	0.793845	0.608086	0.00647475	10.4044	18.6387	19.389	0.603655	-0.796891	-0.0237868	-0.0376758	0.00128848	-0.999289	0.796355	0.604122	-0.0292457	6.78262	14.5988	14.6048	0.621872	0.00352008	-0.783111	-0.00495159	0.999988	0.000562869	0.783103	0.00352761	0.621881	8.64823	14.5839	16.9541	0.580956	-0.813925	-0.0041437	-0.00487549	0.00161096	-0.999987	0.813921	0.580968	-0.00303239	10.3911	14.5693	19.3959	0.602654	-0.797975	-0.00661773	-0.0294555	-0.0139569	-0.999469	0.797459	0.602529	-0.031916
