Time	Sin	Left_Hand_X	Right_Hand_X	Left_Hand_Y	Right_Hand_Y	Left_Grip	Right_Grip
0.004	0.004188778	10.4	10.4	15.5	14.5	500	500
0.008	0.008377482	10.4	10.4	15.5	14.5	500	500
0.012	0.01256604	10.4	10.4	15.5	14.5	500	500
0.016	0.016754377	10.4	10.4	15.5	14.5	500	500
0.02	0.02094242	10.4	10.4	15.5	14.5	500	500
0.024	0.025130095	10.4	10.4	15.5	14.5	500	500
0.028	0.02931733	10.4	10.4	15.5	14.5	500	500
0.032	0.03350405	10.4	10.4	15.5	14.5	500	500
0.036	0.037690183	10.4	10.4	15.5	14.5	500	500
0.04	0.041875654	10.4	10.4	15.5	14.5	500	500
0.044	0.04606039	10.4	10.4	15.5	14.5	500	500
0.048	0.050244318	10.4	10.4	15.5	14.5	500	500
0.052	0.054427365	10.4	10.4	15.5	14.5	500	500
0.056	0.058609456	10.4	10.4	15.5	14.5	500	500
0.06	0.06279052	10.4	10.4	15.5	14.5	500	500
0.064	0.066970481	10.4	10.4	15.5	14.5	500	500
0.068	0.071149267	10.4	10.4	15.5	14.5	500	500
0.072	0.075326806	10.4	10.4	15.5	14.5	500	500
0.076	0.079503022	10.4	10.4	15.5	14.5	500	500
0.08	0.083677843	10.4	10.4	15.5	14.5	500	500
0.084	0.087851197	10.4	10.4	15.5	14.5	500	500
0.088	0.092023008	10.4	10.4	15.5	14.5	500	500
0.092	0.096193205	10.4	10.4	15.5	14.5	500	500
0.096	0.100361715	10.41142857	10.4	15.50180857	14.5	0	500
0.1	0.104528463	10.42285714	10.4	15.52264232	14.5	0	500
0.104	0.108693378	10.43428571	10.4	15.54346689	14.5	0	500
0.108	0.112856385	10.44571429	10.4	15.56428192	14.5	0	500
0.112	0.117017412	10.45714286	10.4	15.58508706	14.5	0	500
0.116	0.121176386	10.46857143	10.4	15.60588193	14.5	0	500
0.12	0.125333234	10.48	10.4	15.62666617	14.5	0	500
0.124	0.129487882	10.49142857	10.4	15.64743941	14.5	0	500
0.128	0.133640259	10.50285714	10.4	15.66820129	14.5	0	500
0.132	0.137790291	10.51428571	10.4	15.68895145	14.5	0	500
0.136	0.141937905	10.52571429	10.4	15.70968952	14.5	0	500
0.14	0.146083029	10.53714286	10.4	15.73041514	14.5	0	500
0.144	0.150225589	10.54857143	10.4	15.75112795	14.5	0	500
0.148	0.154365514	10.56	10.4	15.77182757	14.5	0	500
0.152	0.15850273	10.57142857	10.4	15.79251365	14.5	0	500
0.156	0.162637165	10.58285714	10.4	15.81318583	14.5	0	500
0.16	0.166768747	10.59428571	10.4	15.83384373	14.5	0	500
0.164	0.170897402	10.60571429	10.4	15.85448701	14.5	0	500
